Date,Open,High,Low,Close,Adj Close,Volume
"Aug 1, 1994",86.04,95.27,85.7,93.82,93.82,-
"Jul 1, 1994",81.5,85.19,80.19,85.19,85.19,-
"Jun 1, 1994",87.69,87.69,80.6,81.78,81.78,-
"May 1, 1994",85.06,87.42,81.26,86.92,86.92,-
"Apr 1, 1994",85.79,89.68,78.36,84.05,84.05,-
"Mar 1, 1994",90.34,95.71,85.96,87.46,87.46,-
"Feb 1, 1994",87.81,91.27,84.67,90.5,90.5,-
"Jan 1, 1994",83.59,90.08,83.59,88.14,88.14,-
"Dec 1, 1993",83.27,84.9,81.71,83.96,83.96,-
"Nov 1, 1993",83.07,84.63,79.36,82.82,82.82,-
"Oct 1, 1993",80.21,82.63,78.42,81.81,81.81,-
"Sep 1, 1993",79.11,81.52,76.64,79.76,79.76,-
"Aug 1, 1993",74.8,79.45,74.8,79.45,79.45,-
"Jul 1, 1993",77.85,77.85,72.62,73.78,73.78,-
"Jun 1, 1993",81.92,82.95,77.44,78.58,78.58,-
